,Id,Name,in2000,in2015,inBoth,Group
191,6310,Unspecified sports related activities,TRUE,TRUE,TRUE,10
192,6311,Activities related to sports,TRUE,TRUE,TRUE,10
193,6312,Activities related to productive exercise,TRUE,TRUE,TRUE,10
194,7000,Unspecified hobbies games and computing,TRUE,TRUE,TRUE,4
195,7100,Unspecified arts,TRUE,TRUE,TRUE,2
196,7110,Unspecified visual arts,TRUE,TRUE,TRUE,2
197,7111,Painting drawing or other graphic arts,TRUE,TRUE,TRUE,2
198,7112,Making videos taking photographs or related photographic activities,TRUE,TRUE,TRUE,2
199,7119,Other specified visual arts,TRUE,TRUE,TRUE,2
200,7120,Unspecified performing arts,TRUE,TRUE,TRUE,2
201,7121,Singing or other musical activities,TRUE,TRUE,TRUE,8
202,7129,Other specified performing arts,TRUE,TRUE,TRUE,8
203,7130,Literary arts,TRUE,TRUE,TRUE,2
204,7140,Other specified arts,FALSE,TRUE,FALSE,2
205,7150,Unspecified hobbies,FALSE,TRUE,FALSE,2
206,7160,Collecting,FALSE,TRUE,FALSE,2
207,7170,Correspondence,FALSE,TRUE,FALSE,2
208,7190,Other specified or unspecified arts and hobbies,TRUE,TRUE,TRUE,2
209,7200,Unspecified hobbies,TRUE,FALSE,FALSE,2
210,7210,Collecting,TRUE,FALSE,FALSE,2
211,7220,Computing - programming,TRUE,TRUE,TRUE,4
212,7230,Unspecified information by computing,TRUE,TRUE,TRUE,4
213,7231,Information searching on the internet,TRUE,TRUE,TRUE,4
214,7239,Other specified information by computing,TRUE,TRUE,TRUE,4
215,7240,Unspecified communication by computer,TRUE,TRUE,TRUE,4
216,7241,Communication on the internet,TRUE,TRUE,TRUE,4
217,7249,Other specified communication by computing,TRUE,TRUE,TRUE,4
218,7250,Unspecified other computing,TRUE,TRUE,TRUE,4
219,7251,Skype or other video call,TRUE,TRUE,TRUE,4
220,7259,Other specified computing,TRUE,TRUE,TRUE,4
221,7260,Correspondence,TRUE,FALSE,FALSE,2
222,7290,Other specified hobbies,TRUE,FALSE,FALSE,2
223,7300,Unspecified games,TRUE,TRUE,TRUE,2
224,7310,Solo games and play,TRUE,TRUE,TRUE,2
225,7320,Unspecified games and play with others,TRUE,TRUE,TRUE,2
226,7321,Billiards pool snooker or petanque,TRUE,TRUE,TRUE,2
227,7322,Chess and bridge,TRUE,TRUE,TRUE,2
228,7329,Other specified parlour games and play,TRUE,TRUE,TRUE,2
229,7330,Computer games,TRUE,TRUE,TRUE,4
230,7340,Gambling,TRUE,TRUE,TRUE,2
231,7390,Other specified games,TRUE,TRUE,TRUE,2
232,8000,Unspecified mass media,TRUE,TRUE,TRUE,2
233,8100,Unspecified reading,TRUE,TRUE,TRUE,2
234,8110,Reading periodicals,TRUE,TRUE,TRUE,2
235,8120,Reading books,TRUE,TRUE,TRUE,2
236,8190,Other specified reading,TRUE,TRUE,TRUE,2
237,8210,Unspecified TV video or DVD watching,TRUE,TRUE,TRUE,3
238,8211,Watching a film on TV,TRUE,TRUE,TRUE,3
239,8212,Watching sport on TV,TRUE,TRUE,TRUE,3
240,8219,Other specified TV watching,TRUE,TRUE,TRUE,3
241,8220,Unspecified video watching,TRUE,TRUE,TRUE,3
242,8221,Watching a film on video,TRUE,TRUE,TRUE,3
243,8222,Watching sport on video,TRUE,TRUE,TRUE,3
